SM_R4C1_timestamps,median_pass_3
1063.817506,5.117553857377775e-08
1065.273869,5.120611890832976e-08
1069.642958,5.126853841609404e-08
1071.099321,5.138450268028398e-08
1072.555685,5.1502579413585134e-08
1074.012047,5.157681036361938e-08
1075.468411,5.1627563163668187e-08
1076.924774,5.166520304298404e-08
1078.381137,5.168346134006263e-08
1082.54937,5.171198683257532e-08
1084.005733,5.1782955625687916e-08
1085.462096,5.186711257561e-08
1086.91846,5.193368841922202e-08
1090.032042,5.2001654030521363e-08
1092.543056,5.2077968298122425e-08
1093.999419,5.2144006453043594e-08
1094.401131,5.2196265806094384e-08
1096.912145,5.224834188949095e-08
1100.226584,5.2327099473452683e-08
1101.682947,5.243570334397751e-08
1103.139311,5.251873211088383e-08
1104.595673,5.255042914773006e-08
1106.052037,5.2564334115660933e-08
1107.508399,5.258032343667102e-08
1111.676632,5.259883753909986e-08
1113.132996,5.261838206578294e-08
1114.589359,5.264697221438586e-08
1116.045722,5.2692198770132874e-08
1117.502085,5.2750472897305316e-08
1121.670319,5.2841939177676365e-08
1123.22711,5.2962174220816696e-08
1124.683474,5.3052065253444965e-08
1126.039408,5.309253281079129e-08
1127.495771,5.310942326821515e-08
1128.952134,5.3136658523200543e-08
1132.065717,5.3206717676274004e-08
1133.52208,5.329575479463353e-08
1135.078872,5.3356727395304104e-08
1136.535235,5.339692803591808e-08
1140.603039,5.345337522795904e-08
1141.004752,5.3530006993878376e-08
1143.515765,5.359731871856203e-08
1144.972129,5.365140504859543e-08
1146.52892,5.3708475475355574e-08
1147.985284,5.3772753945000724e-08
1149.341218,5.384422171500724e-08
1152.655657,5.3907635745243206e-08
1154.11202,5.395792066243282e-08
1155.568384,5.4017690413312964e-08
1157.024747,5.408821167668463e-08
1158.481111,5.414941493731147e-08
1162.448487,5.420291241881239e-08
1163.90485,5.425457539864191e-08
1165.361213,5.430609330739652e-08
1165.762926,5.436840184488663e-08
1170.132016,5.442713200866548e-08
1171.588378,5.447152982090325e-08
1173.044742,5.45219968473835e-08
1174.501105,5.457321056667471e-08
1175.957468,5.460798929544886e-08
1178.56891,5.463811740599978e-08
1181.782921,5.46430872945901e-08
1183.239284,5.46430872945901e-08
1184.695647,5.46430872945901e-08
1186.15201,5.46430872945901e-08
1187.608373,5.46430872945901e-08
1189.064736,5.46430872945901e-08
1190.5211,5.46430872945901e-08
1191.977463,5.46430872945901e-08
1196.346552,5.46430872945901e-08
1197.802915,5.46430872945901e-08
1200.313929,5.46430872945901e-08
1200.715641,5.46430872945901e-08
1202.172005,5.46430872945901e-08
1203.628368,5.46430872945901e-08
1205.084731,5.46430872945901e-08
1209.353393,5.46430872945901e-08
1210.809755,5.46430872945901e-08
1212.266119,5.46430872945901e-08
1213.722481,5.46430872945901e-08
1217.790286,5.46430872945901e-08
1219.246649,5.454881303566902e-08
1220.903869,5.4338214544671125e-08
1222.259804,5.4115066863838405e-08
1223.615739,5.3986573633162566e-08
1225.473815,5.3930746834850245e-08
1228.386542,5.3877503544719846e-08
1229.848296,5.383607960570008e-08
1231.30466,5.3832623887503743e-08
1232.761023,5.3832623887503743e-08
1234.217386,5.3832623887503743e-08
1235.67375,5.3832623887503743e-08
1240.042839,5.3832623887503743e-08
1241.499202,5.3832623887503743e-08
1244.010215,5.3832623887503743e-08
1244.411929,5.3832623887503743e-08
1245.868292,5.3832623887503743e-08
